brgy,Number of Households who experienced more frequent flooding,Normalized number of household who experience flooding,Proportion of household experiencing floods,Normalized proportion of households experiencing floods,brgy_elev
Alicaocao,39,0.19,18.4,0.11,34
Alinam,3,0.01,3.09,0.02,68
Amobocan,10,0.05,10.31,0.06,61
Andarayan,43,0.21,91.49,0.56,43
Baculod,0,0,0,0,71
Baringin Norte,24,0.12,66.67,0.41,49
Baringin Sur,1,0,0.87,0.01,48
Buena Suerte,3,0.01,2.8,0.02,50
Bugallon,8,0.04,16.67,0.1,47
Buyon,6,0.03,4.32,0.03,67
Cabaruan,10,0.05,1.96,0.01,57.1
Cabugao,0,0,0,0,73
Carabatan Chica,57,0.28,81.43,0.5,46
Carabatan Grande,55,0.27,157.14,0.97,40
Carabatan Punta,83,0.4,162.75,1,46
Carabatan Bacareno,38,0.18,115.15,0.71,44
Casalatan,0,0,0,0,75
San Pablo (Casap Hacienda),7,0.03,3.03,0.02,49
Cassap Fuera,0,0,0,0,56
Catalina,15,0.07,115.38,0.71,39.76
Culalabat,0,0,0,0,51
Dabburab,0,0,0,0,53
De Vera,3,0.01,2.7,0.02,61
Dianao,0,0,0,0,66
Disimuray,0,0,0,0,55
District I (Pob.),40,0.19,3.4,0.02,103
District II (Pob.),3,0.01,1.1,0.01,58
District III (Pob.),59,0.29,9.62,0.06,50
Duminit,95,0.46,62.5,0.38,45
Faustino (Sipay),3,0.01,1.62,0.01,53
Gagabutan,50,0.24,71.43,0.44,41
Gappal,0,0,0,0,50
Guayabal,20,0.1,12.82,0.08,49
Labinab,34,0.16,17.8,0.11,46
Linglingay,0,0,0,0,76
Mabantad,207,1,126.22,0.78,45
Maligaya,3,0.01,1.53,0.01,82
Manaoag,0,0,0,0,61
Marabulig I,7,0.03,2.04,0.01,63
Marabulig II,1,0,0.38,0,59
Minante I,5,0.02,1.03,0.01,49.04
Minante II,0,0,0,0,61
Nagcampegan,75,0.36,131.58,0.81,43
Naganacan,0,0,0,0,70
Nagrumbuan,0,0,0,0,64
Nungnungan I,0,0,0,0,64
Nungnungan II,0,0,0,0,62
Pinoma,14,0.07,4.71,0.03,67
Rizal,9,0.04,11.11,0.07,65
Rogus,2,0.01,1.2,0.01,75
San Antonio,6,0.03,2.17,0.01,57
San Fermin,16,0.08,1.58,0.01,87.27
San Francisco,3,0.01,1.3,0.01,52
San Isidro,7,0.03,11.67,0.07,58
San Luis,96,0.46,38.4,0.24,43
Santa Luciana (Daburab 2),3,0.01,1.48,0.01,57
Santa Maria,2,0.01,2.41,0.01,50.5
Sillawit,8,0.04,2.35,0.01,64
Sinippil,1,0,7.69,0.05,56
Tagaran,7,0.03,1.18,0.01,55
Turayong,62,0.3,17.56,0.11,50.51
Union,33,0.16,23.24,0.14,50.5
Villa Concepcion,30,0.14,8.62,0.05,89
Villa Luna,105,0.51,46.46,0.29,47
Villaflor,0,0,0,0,50.51
